ifsc,bank_id,branch,address,city,district,state
ABHY0065045,60,KAMOTHE,"DHARTI COMPLEX, SHOP NO.7,8,9310 & 11, PLOT NO. 60/61, SECTOR 18, KAMOTHE II, PANVEL-",NAVI MUMBAI,RAIGAD,MAHARASHTRA
ABHY0065046,60,BHAYANDAR,"SHOP NO. 7,8,9,&107 TO 111 ON GR. FLOOR & 1ST FLOOR. MALHAR ARCADE, CODDEV VILLAGE, NAVGHAR PHATAK ROAD, BHAYANDAR (E), DIST. THANE, 401101",THANE,THANE,MAHARASHTRA
ABHY0065047,60,DAHISAR EAST,"GR. FLOOR, MADHURAM HALL, HARISHANKAR JOSHI ROAD, DAHISAR (E), MUMBAI - 400 068",MUMBAI,GREATER MUMBAI,MAHARASHTRA
ABHY0065048,60,KALYAN-WEST,"FLOWER VALLEY, KHADAKPADA, KALYAN (W), DIST. THANE 421 301",THANE,THANE,MAHARASHTRA
ABHY0065049,60,DOMBIVLI-WEST,"FIRST FLOOR, JAIKUL ARCADE, MANPADA ROAD, DOMBIVLI (E) 421201",THANE,THANE,MAHARASHTRA
ABHY0065050,60,OLD PANVEL,"SHOP NO 1 & 2, KANAK VITHAL, PLOT NO.25, OLD PANVEL, DIST RAIGAD 410 206",RAIGAD,RAIGAD,MAHARASHTRA
ABHY0065051,60,KANDIVALI (WEST),"KANDIVLI (W) BRANCH, SHOP NO.7, VIJAYBHARTI CO-OP. HSG. SOCIETY, SECTOR - II CHARKOP, KANDIVALI (W), MUMBAI 400067",MUMBAI,MUMBAI,MAHARASHTRA
ABHY0065052,60,MIRA ROAD (EAST),"SHOP NO. 6,7 & 8, GROUND FLOOR, BUILDING NO. A-63, SECTOR - 1, SHANTI NAGAR, MIRA ROAD (E), DIST THANE 401107.",BHAYANDAR,THANE,MAHARASHTRA
ABHY0065053,60,BADLAPUR (EAST),"KULGAON GRIHNIRMAN SOCIETY, PLOT NO. 36, GANDHI CHOWK, NEAR KATDHARE HALL, KULGAON, BADLAPUR (E), DIST. THANE 421503",KALYAN,THANE,MAHARASHTRA
ABHY0065054,60,CHEMBUR,"SHOP NO.12 TO 19, BLDG. NO. 2, TILAKNAGAR SHRAMIK CO-OP HSG SOCIETY LTD., TILAKNAGAR, CHEMBUR, MUMBAI 400089.",MUMBAI,GREATER MUMBAI,MAHARASHTRA
